date, price
2000/1/4,-3.76667
2000/1/5,-3.76667
2000/1/6,-2.97333
2000/1/7,-1.64
2000/1/10,-3.62
2000/1/11,-3.68
2000/1/12,-4.2
2000/1/13,-5.31333
2000/1/14,-6.50667
2000/1/15,-6.37333
2000/1/17,-7.78
2000/1/18,-6.22667
2000/1/19,-4.78667
2000/1/20,-5.97333
2000/1/21,-9.60667
2000/1/24,-11.12
2000/1/25,-5.96
2000/1/26,-2.86
2000/1/27,-1.42667
2000/1/28,-4.85333
2000/1/29,-2.38667
2000/1/31,1.76667
2000/2/1,-5.43333
2000/2/9,-4.72
2000/2/10,-3.4
2000/2/11,-6.72667
2000/2/14,-3.06667
2000/2/15,-5.98
2000/2/16,-10.9067
2000/2/17,-9.14
2000/2/18,-5.96667
2000/2/19,-6.82667
2000/2/21,-6.69333
2000/2/22,-7
2000/2/23,-5.84
2000/2/24,-5.14667
2000/2/25,-7.65333
2000/2/29,-8.04
2000/3/1,-8.58667
2000/3/2,-5.37333
2000/3/3,-2.67333
2000/3/4,0.686667
2000/3/6,-6.05333
2000/3/7,-8.62667
2000/3/8,-4.64
2000/3/9,2.34
2000/3/10,-8.98
2000/3/13,-9.90667
2000/3/14,-4.66667
2000/3/15,-0.00666666
2000/3/16,-4.19333
2000/3/17,-1.06
2000/3/20,-2.78
2000/3/21,2.06667
2000/3/22,-1.94667
2000/3/23,-1.67333
2000/3/24,5.37333
2000/3/27,-4.24667
2000/3/28,-4.88667
2000/3/29,-9.57333
2000/3/30,-6.55333
2000/3/31,-4.12
2000/4/1,-7.92
2000/4/5,-0.733333
2000/4/6,4.06667
2000/4/7,-2.14
2000/4/8,0.0799999
2000/4/10,-1.40667
2000/4/11,-3.08
2000/4/12,0.466667
2000/4/13,-1.60667
2000/4/14,-8.39333
2000/4/15,-6.95333
2000/4/17,-5.14
2000/4/18,2.73333
2000/4/19,4.38
2000/4/20,-1.23333
2000/4/21,-3.90667
2000/4/24,0.18
2000/4/25,-4.36667
2000/4/26,-8.27333
2000/4/27,-8.60667
2000/4/28,-11.0467
2000/4/29,-0.04
2000/5/2,4.66667
2000/5/3,-1.30667
2000/5/4,4.64
2000/5/5,-5.69333
2000/5/6,-5.42667
2000/5/8,-8.16
2000/5/9,-4.16
2000/5/10,4.78667
2000/5/11,10.0267
2000/5/12,0.353333
2000/5/15,-3.47333
2000/5/16,-5.77333
2000/5/17,-0.0733333
2000/5/18,1.48667
2000/5/19,3.62
2000/5/20,-3.53333
2000/5/22,0.0866667
2000/5/23,-0.00666666
2000/5/24,-4.65333
2000/5/25,-0.78
2000/5/26,-1.92667
2000/5/29,1.42
2000/5/30,-0.02
2000/5/31,5.11333
2000/6/1,2.78
2000/6/2,-6.20667
2000/6/3,-4.68
2000/6/5,-4.33333
2000/6/7,3.23333
2000/6/8,5.33333
2000/6/9,2.77333
2000/6/12,-1
2000/6/13,-5.1
2000/6/14,-3
2000/6/15,0.906667
2000/6/16,-6.02
2000/6/17,-6.88667
2000/6/19,-1.42667
2000/6/20,-6.11333
2000/6/21,-5.41333
2000/6/22,-2.79333
2000/6/23,5.26667
2000/6/26,1.78667
2000/6/27,-6.63333
2000/6/28,-5.92667
2000/6/29,-3.24
2000/6/30,-2.60667
2000/7/3,-3.46667
2000/7/4,0.72
2000/7/5,-4.42
2000/7/6,-3.03333
2000/7/7,-8.32
2000/7/10,-0.36
2000/7/11,-2.64667
2000/7/12,3.47333
